"Id_Stu_or";"Id_Stu_new"
8125;754
8127;755
8128;756
8130;757
8132;758
8133;759
8134;760
8135;761
8136;762
8137;763
8138;764
8139;765
8140;766
8178;767
8179;768
8180;769
8181;770
8182;771
8183;772
8186;773
8187;774
8188;775
8189;776
8190;777
8191;778
8192;779
8195;780
8196;781
8197;782
8198;783
8199;784
8200;785
8201;786
8202;787
8203;788
8204;789
8205;790
8206;791
8207;792
8208;793
8209;794
8210;795
8211;796
8212;797
8213;798
8214;799
8215;800
8216;801
8218;802
8261;803
8262;804
8263;805
8264;806
8265;807
8266;808
8267;809
8268;810
8269;811
8270;812
8271;813
8272;814
8273;815
8274;816
8275;817
8276;818
8277;819
8278;820
8279;821
8280;822
8281;823
8282;824
8283;825
8284;826
8285;827
8286;828
8287;829
8288;830
8289;831
8290;832
8291;833
8292;834
8293;835
8294;836
8295;837
8296;838
8297;839
8298;840
8299;841
8300;842
8301;843
8355;844
8356;845
8358;846
8359;847
8360;848
8361;849
8362;850
8363;851
8364;852
8365;853
8396;854
8398;855
8399;856
8400;857
8401;858
8402;859
8403;860
8406;861
8407;862
8411;863
8412;864
8413;865
8414;866
8415;867
8442;868
8443;869
8444;870
8446;871
8447;872
8448;873
8449;874
8450;875
8451;876
8452;877
8453;878
8454;879
8455;880
8456;881
8457;882
8458;883
8459;884
8484;885
8485;886
8486;887
8487;888
8488;889
8489;890
8490;891
8491;892
8492;893
8493;894
8494;895
8495;896
8496;897
8555;898
8556;899
8557;900
8558;901
8559;902
8560;903
8561;904
8562;905
8563;906
8564;907
8565;908
8566;909
8567;910
8568;911
8569;912
8571;913
8572;914
8573;915
8574;916
8575;917
8576;918
8577;919
8578;920
8579;921
8580;922
8581;923
8582;924
8583;925
8584;926
8585;927
8586;928
8587;929
8588;930
8590;931
8591;932
8592;933
8593;934
8594;935
8595;936
8596;937
8597;938
8598;939
8601;940
8602;941
8603;942
8604;943
8605;944
8606;945
8607;946
8608;947
8609;948
8610;949
8611;950
8612;951
8614;952
8615;953
8616;954
8617;955
8618;956
8619;957
8620;958
8621;959
8622;960
8623;961
8624;962
8625;963
8626;964
8627;965
8628;966
8629;967
8630;968
8631;969
8632;970
8634;971
8635;972
8636;973
8637;974
8638;975
8639;976
8640;977
8641;978
8642;979
8643;980
8644;981
8645;982
8646;983
8647;984
8648;985
8649;986
8650;987
8651;988
8652;989
8653;990
8654;991
8655;992
8656;993
8657;994
8658;995
8659;996
8660;997
8661;998
8662;999
8663;1000
8664;1001
8665;1002
8676;1003
8677;1004
8678;1005
8679;1006
8680;1007
8681;1008
8682;1009
8683;1010
8684;1011
8685;1012
8686;1013
8689;1014
8690;1015
8691;1016
8692;1017
8693;1018
8694;1019
8695;1020
8696;1021
8697;1022
8698;1023
8699;1024
8700;1025
8701;1026
8702;1027
8703;1028
8704;1029
8705;1030
8706;1031
8707;1032
8708;1033
8709;1034
8710;1035
8711;1036
8712;1037
8713;1038
8714;1039
8715;1040
8716;1041
8717;1042
8718;1043
8719;1044
8720;1045
8721;1046
8722;1047
8723;1048
8724;1049
8725;1050
9295;1051
9297;1052
9299;1053
9300;1054
9301;1055
9302;1056
9303;1057
9304;1058
9336;1059
9337;1060
9338;1061
9339;1062
9340;1063
9341;1064
9342;1065
9343;1066
9344;1067
9345;1068
11846;1069
11847;1070
11848;1071
11849;1072
11850;1073
12014;1074
12016;1075
12017;1076
12018;1077
12019;1078
12020;1079
12022;1080
12023;1081
12051;1082
12052;1083
12056;1084
12057;1085
12058;1086
12059;1087
12060;1088
12061;1089
12062;1090
12063;1091
12064;1092
12065;1093
12144;1094
12145;1095
12146;1096
12149;1097
12150;1098
12151;1099
12152;1100
12153;1101
12154;1102
12155;1103
12156;1104
12157;1105
12158;1106
12159;1107
12160;1108
12161;1109
12162;1110
12163;1111
12362;1112
12365;1113
12366;1114
12367;1115
12368;1116
12369;1117
12370;1118
12371;1119
12372;1120
12373;1121
12374;1122
12375;1123
12376;1124
12377;1125
12382;1126
12383;1127
12386;1128
12387;1129
12388;1130
12389;1131
12446;1132
12448;1133
12450;1134
12451;1135
12452;1136
12453;1137
12458;1138
12459;1139
12462;1140
12463;1141
12464;1142
12465;1143
12466;1144
12467;1145
12468;1146
12469;1147
12470;1148
12472;1149
12473;1150
12474;1151
12475;1152
12476;1153
12477;1154
12478;1155
12479;1156
12480;1157
12481;1158
12482;1159
12484;1160
12485;1161
12486;1162
12487;1163
12488;1164
12489;1165
12490;1166
12491;1167
12492;1168
12493;1169
12494;1170
12495;1171
12496;1172
12497;1173
12498;1174
12499;1175
12500;1176
12501;1177
12502;1178
12503;1179
12504;1180
12505;1181
12506;1182
12507;1183
12508;1184
12622;1185
12623;1186
12624;1187
12625;1188
12626;1189
12628;1190
12629;1191
12630;1192
12774;1193
12775;1194
12778;1195
12779;1196
12780;1197
12781;1198
12782;1199
12783;1200
12784;1201
12785;1202
12786;1203
12787;1204
12788;1205
12789;1206
12790;1207
12926;1208
12927;1209
12928;1210
12929;1211
12930;1212
12931;1213
12932;1214
12933;1215
12934;1216
12935;1217
12936;1218
12937;1219
12938;1220
12939;1221
12940;1222
12941;1223
12942;1224
12943;1225
13096;1226
13097;1227
13099;1228
13100;1229
13101;1230
13102;1231
13103;1232
13104;1233
13146;1234
13150;1235
13151;1236
13152;1237
13154;1238
13247;1239
13248;1240
13249;1241
13250;1242
13251;1243
13252;1244
13253;1245
13254;1246
13256;1247
13257;1248
13258;1249
13259;1250
13260;1251
13261;1252
13262;1253
13263;1254
13264;1255
13265;1256
13747;1257
13748;1258
13749;1259
13750;1260
13751;1261
13754;1262
13755;1263
13756;1264
13757;1265
13758;1266
14035;1267
14036;1268
14037;1269
14038;1270
14039;1271
14040;1272
14041;1273
14042;1274
14225;1275
14227;1276
14228;1277
14229;1278
14230;1279
14231;1280
14232;1281
14234;1282
14235;1283
14236;1284
14237;1285
14238;1286
14239;1287
14547;1288
14548;1289
14549;1290
14550;1291
14551;1292
14552;1293
14553;1294
14554;1295
14555;1296
14556;1297
14557;1298
14558;1299
14559;1300
14560;1301
14561;1302
14562;1303
15297;1304
15298;1305
15299;1306
15300;1307
15301;1308
15573;1309
15574;1310
15575;1311
15576;1312
15577;1313
15578;1314
15579;1315
15580;1316
15581;1317
15582;1318
15583;1319
15584;1320
15585;1321
15586;1322
15587;1323
15923;1324
15924;1325
15925;1326
15926;1327
15927;1328
15928;1329
15929;1330
15930;1331
15933;1332
