"key_Student";"Student";"Professor";"Subject";"SelfPerf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
1002;28;70;12;4;4;3;2;3;4;3;3;4;4;3;2;3;2;3;4;4;3;1;1;4;2;1;3;3;"LE GUSTA ENSEÑAR Y DAR ACONOCER SUS EXPERIENCIAS SOBRE LA ASIGNATURA";"ES AVECES TEMPERAMENTAL, SIN CAUSA JUSTA";0;89;5;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1004;29;70;12;4;4;3;3;4;4;4;4;4;4;3;3;4;4;3;4;4;3;1;1;4;2;1;4;4;"LIBERTAD DE EXPRESION, PUNTUALIDAD EN TEMAS PRACTICOS, DIDACTICA";"";0;542;39;13;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1005;30;70;12;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;"EL PROFESOR SIEMPRE ESTA EN DISPOSICION DE ACLARAR DUDAS Y ES MUY CLARO Y PUNTUAL CON LA INFORMACION QUE FACILITA";"";0;1027;92;6;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1006;31;70;12;4;3;4;4;4;4;4;2;3;2;2;3;4;3;3;4;4;4;3;3;3;2;2;3;3;"VERSATILIDAD";"MAL GENIO";0;1030;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1008;32;70;12;4;4;4;3;4;4;4;4;4;3;4;4;4;3;3;4;4;4;4;3;4;1;1;3;3;"POSTURA CRITICA";"";1;1748;39;12;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1011;33;70;12;3;4;4;4;4;4;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;2;2;4;3;"ES ENTISIASTA Y LO QUE LE INTERESA ES QUE APRENDAMOS, NO LAS NOTAS, ME CAE MUY BIEN, SE PUEDE HABLAR CON EL";"FALTAN MAS PASEOS";1;2547;88;6;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1013;34;70;12;4;4;3;4;4;3;4;4;3;3;4;4;3;3;3;4;3;4;3;3;4;1;1;4;4;"";"";1;2615;92;9;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1014;35;70;12;4;4;4;3;3;4;4;4;4;4;4;4;3;2;3;4;4;4;4;4;4;1;1;4;4;"PUNTUALIDAD DEL DOCENTE, TEMATICA INTERESANTE, ENTENDIBLE Y DIDACTICO";"DESORDEN EN ALGUNOS TEMAS";1;2616;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1015;36;70;12;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;3;4;3;3;3;1;2;3;3;"";"";1;2616;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1016;37;70;12;3;4;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;2;2;4;4;"MANEJO TOTAL DEL TEMA";"PUES DEBERIA SER ALGO MAS DE PRODUCCION Y PARTE EMPRESARIAL DE LAS ABEJAS";1;2617;92;12;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
