"Student";"SelfPerf";"stud_diff_prof_no_perf";"stud_diff_prof_perf";"Professor";"prof_no_perf";"prof_perf";"harmonic_mean";"Subject";"sub_no_perf";"sub_perf";"stud_diff_subj_no_perf";"stud_diff_subj_perf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
22;4;0,23;0,30;15;0,45;0,55;"3,526";11;0,02;0,15;-0,46;-0,37;4;4;4;4;4;4;3;2;4;4;3;4;2;3;3;3;4;2;1;4;2;2;4;4;"ES ENTUSIASTA Y MUY CONOCEDOR DEL TEMA";"NO ES CLARO CON LOS REQUISITOS DE LOS PARCIALES, A VECES SE PIENSA QUE DEBE HACERSE MAS, PERO EN REALIDAD NO ES TAN PROFUNDO";1;1129;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
23;4;1,44;1,49;15;0,45;0,55;"3,526";11;0,02;0,15;2,55;2,55;4;4;4;4;3;3;3;2;3;2;2;2;3;3;2;2;3;2;2;3;2;2;3;3;;;1;1135;5;10;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
24;4;0,36;0,42;15;0,45;0,55;"3,526";11;0,02;0,15;-0,75;-0,65;3;3;4;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;3;2;1;4;4;;;1;1139;5;11;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
25;4;-0,98;-0,88;15;0,45;0,55;"3,526";11;0,02;0,15;0,11;0,18;3;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;2;1;4;4;"UN DOMINIO DE LOS TEMAS TRATADOS MUY BUENO";"LA ASIGNATURA DEBERIA TENER EL HORARIO Y DEBERIA SER DICTADA EN LA MAÑANA";1;1145;5;12;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
26;4;1,20;1,26;70;0,50;0,62;"3,594";12;-0,05;0,10;0,75;0,82;3;3;3;4;4;4;4;3;4;3;3;2;2;4;3;1;4;3;3;4;2;1;3;3;"LOS CONTENIDOS DE LA ASIGNATURA SON MUY INTERESANTES Y EL PROFESOR TIENE UN AMPLIO MANEJO DEL TEMA";"LA ASIGNATURA ES OFERTAS PARA TODO LOS PROGRAMAS SE DIFICULTA PARA AQUELLOS ESTUDIANTES QUE NO HAN VISTO NADA DE BIOLOGIA DE INSECTOS";0;39;5;2;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
27;3;0,05;-0,24;70;0,50;0,62;"3,594";12;-0,05;0,10;1,40;0,77;4;3;3;4;4;4;3;3;3;3;4;4;3;4;4;4;4;3;3;3;2;1;3;3;"EL PROFESOR MUESTRA INTERES, POR EL APRENDIZAJE DE LOS ESTUDIANTES, SIEMPRE ESTA DISPONIBLE Y DISPUESTO A RESOLVER DUDAS";;0;57;5;5;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
28;4;1,45;1,52;70;0,50;0,62;"3,594";12;-0,05;0,10;0,05;0,13;4;3;2;3;4;3;3;4;4;3;2;3;2;3;4;4;3;1;1;4;2;1;3;3;"LE GUSTA ENSEÑAR Y DAR ACONOCER SUS EXPERIENCIAS SOBRE LA ASIGNATURA";"ES AVECES TEMPERAMENTAL, SIN CAUSA JUSTA";0;89;5;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
29;4;-8,0e-03;0,06;70;0,50;0,62;"3,594";12;-0,05;0,10;-0,80;-0,66;4;3;3;4;4;4;4;4;4;3;3;4;4;3;4;4;3;1;1;4;2;1;4;4;"LIBERTAD DE EXPRESION, PUNTUALIDAD EN TEMAS PRACTICOS, DIDACTICA";;0;542;39;13;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
30;4;-1,85;-1,70;70;0,50;0,62;"3,594";12;-0,05;0,10;-0,76;-0,67;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;"EL PROFESOR SIEMPRE ESTA EN DISPOSICION DE ACLARAR DUDAS Y ES MUY CLARO Y PUNTUAL CON LA INFORMACION QUE FACILITA";;0;1027;92;6;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
31;4;0,34;0,41;70;0,50;0,62;"3,594";12;-0,05;0,10;2,42;2,45;3;4;4;4;4;4;2;3;2;2;3;4;3;3;4;4;4;3;3;3;2;2;3;3;"VERSATILIDAD";"MAL GENIO";0;1030;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
32;4;-0,20;-0,13;70;0,50;0,62;"3,594";12;-0,05;0,10;0,13;0,22;4;4;3;4;4;4;4;4;3;4;4;4;3;3;4;4;4;4;3;4;1;1;3;3;"POSTURA CRITICA";;1;1748;39;12;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
33;3;-0,55;-0,83;70;0,50;0,62;"3,594";12;-0,05;0,10;0,11;-0,46;4;4;4;4;4;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;2;2;4;3;"ES ENTISIASTA Y LO QUE LE INTERESA ES QUE APRENDAMOS, NO LAS NOTAS, ME CAE MUY BIEN, SE PUEDE HABLAR CON EL";"FALTAN MAS PASEOS";1;2547;88;6;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
34;4;0,24;0,31;70;0,50;0,62;"3,594";12;-0,05;0,10;0,14;0,22;4;3;4;4;3;4;4;3;3;4;4;3;3;3;4;3;4;3;3;4;1;1;4;4;;;1;2615;92;9;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
35;4;0,12;0,20;70;0,50;0,62;"3,594";12;-0,05;0,10;-1,93;-1,75;4;4;3;3;4;4;4;4;4;4;4;3;2;3;4;4;4;4;4;4;1;1;4;4;"PUNTUALIDAD DEL DOCENTE, TEMATICA INTERESANTE, ENTENDIBLE Y DIDACTICO";"DESORDEN EN ALGUNOS TEMAS";1;2616;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
36;4;-0,25;-0,17;70;0,50;0,62;"3,594";12;-0,05;0,10;-0,79;-0,67;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;3;4;3;3;3;1;2;3;3;;;1;2616;92;10;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
37;3;-1,30;-1,53;70;0,50;0,62;"3,594";12;-0,05;0,10;-0,39;-0,86;4;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;2;2;4;4;"MANEJO TOTAL DEL TEMA";"PUES DEBERIA SER ALGO MAS DE PRODUCCION Y PARTE EMPRESARIAL DE LAS ABEJAS";1;2617;92;12;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
38;3;-1,08;-1,37;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,02;-0,54;4;4;4;4;4;4;4;3;4;3;3;3;4;4;3;2;4;3;3;3;1;2;4;3;"ENTUSIASMO INVITA A LA BUSQUEDA E INVESTIGACIÓN , RELACIONA TEMAS , ES PACIENTE";"LA ASIGNATURA  DEBERIA ESTAR DICTADA SOLO POR LA PROFESORA";0;515;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
39;4;1,81;1,88;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,39;0,49;2;2;3;2;3;2;3;2;4;2;3;1;2;2;2;3;3;3;4;4;1;1;3;4;;;0;516;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
40;4;0,73;0,82;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;-0,66;-0,53;2;3;4;3;3;3;4;3;4;3;4;1;3;3;3;2;4;2;3;4;1;1;3;4;;;0;516;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
41;4;0,96;1,06;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;1,78;1,87;4;2;4;3;3;3;2;3;3;2;3;2;2;3;3;4;2;3;3;3;1;1;3;2;;;0;533;39;6;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
42;3;0,11;-0,19;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,48;-0,07;3;3;4;4;4;4;3;2;4;3;1;2;3;4;3;2;4;3;4;4;1;1;4;3;"LA DISPOSICION DE LA PROFESORA PARA EXPLICAR FUE ADECUADA.";;1;1708;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
43;3;-1,37;-1,63;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;-1,44;-1,89;3;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;1;1;4;3;"LA PASION QUE TRANSMITE";"EL TEMA ES MUY ESTENSO";1;1708;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
44;4;-0,91;-0,81;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,66;0,77;3;4;4;4;3;4;3;3;3;3;3;3;4;4;4;4;4;3;3;2;1;1;4;3;;;1;1709;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
45;4;-0,52;-0,41;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;-0,58;-0,48;3;4;4;4;4;4;4;3;4;4;4;2;4;4;3;3;3;2;2;2;1;2;3;3;"MUESTRA ENTUSIASMO AL DICTAR LAS CLASES.";;1;1709;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
46;3;0,80;0,47;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;6,0e-03;-0,55;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;2;3;1;1;3;3;;;1;1714;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
47;4;1,51;1,59;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;1,19;1,28;2;3;3;3;3;3;2;3;3;2;3;1;2;3;4;1;3;4;3;4;1;1;3;3;"ENTUSIASMO Y COMPROMISO";"PUNTUALIDAD";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
48;4;-0,01;0,07;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,48;0,58;3;3;4;3;3;4;4;2;4;3;3;2;3;4;3;3;4;3;3;4;1;1;4;3;"MOTIVACION ALTA , SENTIDO DE RESPONSABILIDAD ,PROMUEVE EL GUSTO X LA MATERIA";"DOCENTE :NINGUNA , ASIGNATURA: CAMBIO DE DOCENTE";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
49;4;-0,16;-0,06;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;-0,59;-0,46;3;4;2;2;4;4;4;3;4;4;4;2;3;4;4;3;4;3;3;3;1;1;3;3;;;1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
50;4;0,11;0,20;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;1,08;1,18;4;4;4;4;3;4;3;3;2;3;1;2;3;3;4;2;3;3;3;3;1;1;4;3;;;1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
51;4;-1,04;-0,95;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;-1,42;-1,24;4;4;4;4;4;4;2;4;3;4;4;2;4;4;4;2;4;3;4;3;1;1;4;4;"ES BUENA EXPLICANDO  Y NOS INSPIRA A INVESTIGAR PARA APOYAR LO VISTO";"LA IMPUNTUALIDAD , NADA MAS";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
52;4;-0,08;0,01;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;1,25;1,32;3;2;4;4;4;4;3;3;3;3;3;2;3;3;4;4;4;4;4;4;1;1;3;2;"LA ASIGNATURA EN ESENCIAL ES  MUY INTERESANTE Y LA PROFESORA EN TERMINOS GENERALES ES BUENA";"NO TODOS APRENDEMOS  A LA VELOCIDAD QUE ELLA QUIERE , ESTOY CONSCIENTE QUE LA MATERIA ES BASTANTE DENSA PERO CIERTO QUE HAY TEMAS QUE SENCILLAMENTE NO DEBERIAN TOCARSE EN UNA MATERIA DE TAXONOMIA";1;1723;39;4;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
53;4;-0,10;-4,0e-03;6;-0,54;-0,42;"3,174";14;-1,02;-0,83;0,66;0,76;4;4;4;4;4;4;3;3;3;3;4;2;2;3;3;2;3;3;3;3;1;1;4;3;"TIENE FORTALEZAS EN LA MATERIA ACCESIBLE A RESPONDER PREGUNTAS";"ALGUNA VECES NO SE EXPLICA BIEN";1;1723;39;4;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
54;3;-0,39;-0,63;53;-0,89;-0,69;"2,846";34;-1,52;-1,28;0,26;-0,26;3;4;3;2;4;3;3;3;3;3;4;4;4;4;3;3;4;3;3;3;2;1;3;3;"NOS ENSEÑA LA PARTE PRACTICA DE LAS COSAS";"MEJOR EVALUACION";0;74;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
55;4;0,42;0,58;53;-0,89;-0,69;"2,846";34;-1,52;-1,28;0,90;1,04;2;3;3;3;3;3;3;4;3;2;4;3;3;4;3;3;4;2;1;3;2;1;1;2;;;0;75;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
56;3;-0,24;-0,49;53;-0,89;-0,69;"2,846";34;-1,52;-1,28;-0,51;-0,99;3;4;4;3;3;3;4;4;4;2;3;4;4;4;4;1;1;1;2;4;2;1;3;3;;;1;1123;5;8;1;0;244;1;0;1;"PLANTA";"1/2/2006 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
