"Student";"Subject";"Y_sub";"SelfPerf_su";"Item"
876;123;4;4;1
877;123;3;4;1
878;123;4;4;1
879;123;4;5;1
880;123;4;4;1
881;123;4;4;1
882;123;4;5;1
883;123;4;5;1
884;123;4;4;1
885;6;4;4;1
886;6;2;4;1
887;6;3;4;1
888;6;2;4;1
889;6;4;4;1
890;6;3;5;1
891;6;2;4;1
892;6;4;3;1
893;6;4;5;1
894;6;2;4;1
895;6;3;5;1
896;6;4;4;1
897;6;3;4;1
898;8;2;4;1
899;8;3;5;1
900;8;4;5;1
901;8;2;4;1
902;8;3;3;1
903;9;3;4;1
904;9;4;4;1
905;9;4;5;1
906;9;4;4;1
907;9;4;4;1
908;9;4;3;1
909;9;3;4;1
910;9;4;4;1
911;9;4;4;1
912;9;4;4;1
913;9;3;4;1
914;9;4;4;1
915;9;3;4;1
916;10;3;3;1
917;10;4;4;1
918;10;4;4;1
919;10;4;4;1
920;10;4;4;1
921;10;3;3;1
922;10;3;4;1
923;26;3;5;1
924;26;4;4;1
925;26;4;4;1
926;26;4;3;1
927;26;4;4;1
928;26;4;4;1
929;26;4;5;1
930;26;4;4;1
931;26;4;5;1
932;26;4;4;1
933;26;4;4;1
934;26;4;5;1
935;26;4;5;1
936;26;3;3;1
937;26;4;4;1
938;26;3;4;1
939;35;4;4;1
940;35;3;4;1
941;35;3;4;1
942;35;3;3;1
943;35;3;3;1
944;35;2;4;1
945;35;3;4;1
946;35;3;4;1
947;35;3;5;1
948;35;3;4;1
949;35;2;4;1
950;35;4;4;1
951;35;4;5;1
952;35;2;4;1
953;35;3;3;1
954;35;4;4;1
955;35;4;4;1
956;35;4;4;1
957;37;3;4;1
958;37;3;4;1
959;37;3;5;1
960;37;2;3;1
961;37;1;4;1
962;48;2;4;1
963;48;4;4;1
964;48;3;4;1
965;48;3;4;1
966;48;3;4;1
967;48;3;4;1
968;48;3;4;1
969;48;4;4;1
970;48;3;4;1
971;51;3;3;1
972;51;3;3;1
973;51;3;4;1
974;51;4;4;1
975;51;4;4;1
976;51;4;4;1
977;51;2;4;1
978;51;4;4;1
979;51;4;4;1
980;51;4;4;1
981;51;4;4;1
982;51;4;5;1
983;51;2;4;1
984;58;3;4;1
985;58;1;1;1
986;58;3;4;1
987;58;1;4;1
988;58;3;4;1
989;58;4;4;1
990;58;3;4;1
991;58;1;1;1
992;58;2;4;1
993;58;1;4;1
994;58;2;4;1
995;58;3;4;1
996;58;4;4;1
997;58;3;4;1
998;58;3;5;1
999;58;4;5;1
1000;58;4;4;1
1001;58;3;4;1
1002;58;1;2;1
1003;100;4;3;1
1004;100;4;4;1
1005;100;3;3;1
1006;100;4;4;1
1007;100;4;4;1
1008;100;4;4;1
1009;100;4;5;1
1010;100;4;5;1
1011;100;4;4;1
1012;100;3;4;1
1013;100;4;4;1
1014;100;4;3;1
1015;100;3;4;1
1016;100;4;5;1
1017;100;3;4;1
1018;100;4;5;1
1019;100;4;4;1
1020;100;4;4;1
1021;100;3;5;1
1022;100;3;4;1
1023;122;4;3;1
1024;122;3;4;1
1025;122;4;4;1
1026;122;4;5;1
1027;122;3;3;1
1028;122;4;3;1
1029;122;2;4;1
1030;122;3;4;1
1031;122;1;4;1
1032;122;4;5;1
1033;122;3;3;1
1034;122;2;4;1
1035;122;3;5;1
1036;122;2;3;1
1037;122;3;3;1
1038;122;2;3;1
1039;122;4;4;1
1040;122;3;4;1
1041;1;3;4;1
1042;1;4;5;1
1043;1;4;4;1
1044;1;4;3;1
1045;1;2;4;1
1046;1;4;4;1
1047;1;4;4;1
1048;1;4;5;1
1049;1;4;5;1
1050;1;3;4;1
1051;3;4;4;1
1052;3;3;4;1
1053;3;4;4;1
1054;3;4;5;1
1055;3;4;4;1
1056;3;3;3;1
1057;3;4;4;1
1058;3;4;4;1
1059;4;3;3;1
1060;4;4;3;1
1061;4;4;5;1
1062;4;3;3;1
1063;4;2;3;1
1064;4;4;3;1
1065;4;4;4;1
1066;4;4;3;1
1067;4;4;3;1
1068;4;3;3;1
1069;29;4;4;1
1070;29;4;4;1
1071;29;4;4;1
1072;29;4;4;1
1073;29;2;4;1
1074;43;3;4;1
1075;43;3;3;1
1076;43;3;3;1
1077;43;2;4;1
1078;43;4;4;1
1079;43;4;4;1
1080;43;4;3;1
1081;43;4;4;1
1082;47;3;3;1
1083;47;3;4;1
1084;47;3;3;1
1085;47;4;5;1
1086;47;3;4;1
1087;47;3;4;1
1088;47;3;2;1
1089;47;4;3;1
1090;47;1;4;1
1091;47;2;3;1
1092;47;4;5;1
1093;47;3;4;1
1094;52;3;3;1
1095;52;4;5;1
1096;52;4;3;1
1097;52;4;4;1
1098;52;3;4;1
1099;52;4;4;1
1100;52;4;4;1
1101;52;4;3;1
1102;52;3;3;1
1103;52;4;3;1
1104;52;3;3;1
1105;52;4;4;1
1106;52;4;4;1
1107;52;3;5;1
1108;52;4;4;1
1109;52;2;3;1
1110;52;4;2;1
1111;52;4;4;1
1112;59;2;3;1
1113;59;3;2;1
1114;59;3;4;1
1115;59;2;3;1
1116;59;3;3;1
1117;59;3;3;1
1118;59;4;4;1
1119;59;3;4;1
1120;59;4;3;1
1121;59;3;3;1
1122;59;2;3;1
1123;59;4;3;1
1124;59;2;3;1
1125;59;3;4;1
1126;80;3;4;1
1127;80;3;2;1
1128;80;4;4;1
1129;80;3;4;1
1130;80;4;4;1
1131;80;4;4;1
